"","player_id","war7","war8","war9","war10","war11","predwar7","predwar8","predwar9","predwar10","predwar11"
"903","habyajo01",2.9,0.8,0.4,0.9,0.7,0.276771196283391,2.66159420289855,0.670064516129032,0.235455861070912,0.600340715502555
"914","haliced01",-0.1,-1,-1,-1,-1,-1.42993548387097,-0.264544138929088,-1.29965928449744,-1.36476578411405,-1.31202046035806
"921","hamelco01",4.6,4.6,6.6,4.4,5,6.36159420289855,4.47006451612903,4.43545586107091,6.30034071550256,4.03523421588595
"933","hamiljo02",1.2,-0.5,-0.3,-0.3,-1,-0.529935483870968,1.03545586107091,-0.799659284497445,-0.664765784114053,-0.612020460358056
"943","hannapr01",-0.8,-0.1,-1,-1,-1,1.07866354044549,-0.823228803716609,-0.338405797101449,-1.12993548387097,-1.16454413892909
"951","hanrajo01",-0.5,-1,-1,-1,-1,1.00034071550256,-0.864765784114053,-1.31202046035806,-1.28730158730159,-1.06
"958","hasegsh01",3.2,-0.3,0.6,-1,-1,1.11269841269841,3.14,-0.868156424581006,0.301587301587302,-1.40697674418605
"967","hasslan01",0.5,0,0.3,2.8,1,0.894939759036145,0.378663540445487,-0.0232288037166086,0.0615942028985506,2.67006451612903
"981","hausmto01",0.9,-0.4,-1,-1,-1,-0.338405797101449,0.770064516129032,-0.564544138929088,-1.29965928449744,-1.36476578411405
"988","heilmaa01",0.9,-0.1,-1.1,-1,-1,-1.06454413892909,0.600340715502555,-0.464765784114053,-1.41202046035806,-1.28730158730159
"997","henketo01",1.4,3.4,3,2,1.2,3.13545586107091,1.10034071550256,3.03523421588595,2.68797953964194,1.71269841269841
"1011","henrydo01",-1.1,1.6,-0.2,1.2,-0.5,-1.61202046035806,-1.38730158730159,1.54,-0.768156424581006,0.901587301587301
"1022","henrydw01",-0.4,0.8,1,-1,-1,-0.338405797101449,-0.529935483870968,0.635455861070912,0.700340715502555,-1.36476578411405
"1033","hentgpa01",5.8,0.8,2.3,1.7,1.5,8.26159420289855,5.67006451612903,0.635455861070912,2.00034071550256,1.33523421588595
"1047","hergema01",-0.4,0,1.2,0,0.5,-0.86,-0.968156424581006,-0.298412698412698,0.793023255813953,0.042857142857143
"1058","hernafe02",3.7,4.7,5.2,6.8,4.4,7.19493975903614,3.57866354044549,4.67677119628339,4.96159420289855,6.67006451612903
"1071","hernaxa01",-0.1,-0.4,0.4,1,-1,-0.429935483870968,-0.264544138929088,-0.699659284497445,0.035234215885947,0.687979539641944
"1081","hillesh01",-0.8,-1,-1,-1,-1,-0.838405797101449,-0.929935483870968,-1.16454413892909,-1.29965928449744,-1.36476578411405
"1088","hoffmgu01",-1,1.4,1.5,-0.2,-1,-1.23840579710145,-1.12993548387097,1.23545586107091,1.20034071550256,-0.564765784114053
"1094","howest01",-1,0.5,-1,-1,-1,-1.63840579710145,-1.12993548387097,0.335455861070912,-1.29965928449744,-1.36476578411405
"1106","hugheph01",-0.7,4.3,1.8,-0.1,-0.6,1.87677119628339,-0.938405797101449,4.17006451612903,1.63545586107091,-0.399659284497445
"1117","janssca01",1.9,1.4,0.2,-0.1,-1,1.73545586107091,1.60034071550256,1.03523421588595,-0.112020460358056,-0.387301587301587
"1126","jarvike01",0.6,1.5,0.3,-1,-0.7,-0.764544138929088,0.300340715502555,1.13523421588595,-0.0120204603580563,-1.28730158730159
"1138","jonesbo04",-1,0,-1,-1,-1,-0.499659284497445,-1.36476578411405,-0.312020460358056,-1.28730158730159,-1.06
"1144","jonesji02",0.3,-0.8,-1,-1,-1,-0.738405797101449,0.170064516129032,-0.964544138929088,-1.29965928449744,-1.36476578411405
"1152","kaiseje01",-0.3,-1,-0.2,-1,-1,0.0354558610709118,-0.599659284497445,-1.36476578411405,-0.512020460358056,-1.28730158730159
"1159","karsast01",2.2,1.8,2.4,2.5,-1,-0.0232288037166086,1.96159420289855,1.67006451612903,2.23545586107091,2.20034071550256
"1170","keislra01",0.1,-0.2,-1,-1,-1,-0.964544138929088,-0.199659284497445,-0.564765784114053,-1.31202046035806,-1.28730158730159
"1176","kimby01",1.5,0.4,-1,-1,-1,-0.321336459554514,1.47677119628339,0.161594202898551,-1.12993548387097,-1.16454413892909
"1185","kinger01",-0.2,-1,-1,-1,-1,1.26159420289855,-0.329935483870968,-1.16454413892909,-1.29965928449744,-1.36476578411405
"1192","kingra01",0.5,0.2,0.2,0,-1,1.10034071550256,0.135234215885947,-0.112020460358056,-0.0873015873015874,-0.0599999999999999
"1202","knudsma01",-0.9,-1,-0.5,-1,-1,1.73545586107091,-1.19965928449744,-1.36476578411405,-0.812020460358056,-1.28730158730159
"1210","koplomi01",0,-1,-1,-1,-1,-0.0645441389290882,-0.299659284497445,-1.36476578411405,-1.31202046035806,-1.28730158730159
"1217","kucekja01",-1.5,-1,-1,-1,-1,-0.323228803716609,-1.73840579710145,-1.12993548387097,-1.16454413892909,-1.29965928449744
"1224","kurodhi01",2.4,-1,-1,-1,-1,4.14285714285714,1.77380952380952,-1.91724137931034,-1.87333333333333,-1.84444444444444
"1231","laddpe01",0.1,1.4,-1,-1,-1,-1.43840579710145,-0.0299354838709676,1.23545586107091,-1.29965928449744,-1.36476578411405
"1237","landrbi01",-0.7,0.3,-1,-1,-1,0.212698412698413,-0.76,-0.268156424581006,-1.2984126984127,-1.40697674418605
"1245","lawrebr02",-0.4,-1,-1,-1,-1,-1.29965928449744,-0.764765784114053,-1.31202046035806,-1.28730158730159,-1.06
"1251","leach01",-1,-0.3,-0.2,-1,-1,-1.12993548387097,-1.16454413892909,-0.599659284497445,-0.564765784114053,-1.31202046035806
"1258","leagubr01",0.1,0.7,1,-1.4,0.6,0.0767711962833914,-0.138405797101449,0.570064516129032,0.835455861070912,-1.69965928449744
"1269","learyti01",0.4,2.8,3.2,1.7,-1,3.16159420289855,0.270064516129032,2.63545586107091,2.90034071550256,1.33523421588595
"1282","leblawa01",0.3,-1,0.6,0.2,-1,-0.929935483870968,0.135455861070912,-1.29965928449744,0.235234215885947,-0.112020460358056
"1291","lewisco01",-1,-1,3.2,1.9,2.1,-0.838405797101449,-1.12993548387097,-1.16454413892909,2.90034071550256,1.53523421588595
"1302","lillide01",-0.3,0,-1,-1,-1,0.0700645161290324,-0.464544138929088,-0.299659284497445,-1.36476578411405,-1.31202046035806
"1310","linceti01",-0.6,-0.7,0.3,-1.6,-1,-1.82993548387097,-0.764544138929088,-0.999659284497445,-0.064765784114053,-1.91202046035806
"1320","lloydgr01",1,-1,0.5,-0.6,-0.2,0.735234215885947,0.687979539641944,-1.28730158730159,0.44,-1.16815642458101
"1330","lohseky01",1.9,2.8,-0.3,-2.3,2.3,0.0615942028985506,1.77006451612903,2.63545586107091,-0.599659284497445,-2.66476578411405
"1346","longbi01",-0.1,-1,-1,-1,-1,-0.299659284497445,-0.464765784114053,-1.31202046035806,-1.28730158730159,-1.06
"1352","loopebr01",2.3,0,0.8,0.5,1.4,1.07006451612903,2.13545586107091,-0.299659284497445,0.435234215885947,0.187979539641944
"1364","lopezja02",-0.4,1.9,1.2,0.6,0.9,1.50034071550256,-0.764765784114053,1.58797953964194,0.912698412698413,0.54
"1378","lowede01",2.8,-0.7,1.5,4.8,2.5,7.03545586107091,2.50034071550256,-1.06476578411405,1.18797953964194,4.51269841269841
"1395","lyonbr01",2.1,0.2,2,1.5,-1.5,1.07677119628339,1.86159420289855,0.0700645161290324,1.83545586107091,1.20034071550256
"1407","magnami01",0.8,-0.1,1.1,0.5,1,-0.664765784114053,0.487979539641944,-0.387301587301587,1.04,-0.0681564245810057
"1419","mahleri01",4.7,1,1.3,2.4,1.4,4.10034071550256,4.33523421588595,0.687979539641944,1.01269841269841,2.34
"1432","mainejo01",-0.6,-1,-1,-0.3,-1,0.470064516129032,-0.764544138929088,-1.29965928449744,-1.36476578411405,-0.612020460358056
"1440","marquja01",-1.7,0.8,2.5,3.5,-1.2,0.676771196283391,-1.93840579710145,0.670064516129032,2.33545586107091,3.20034071550256
"1455","marshse01",1.6,0.2,-0.6,-1,-1,2.37006451612903,1.43545586107091,-0.0996592844974446,-0.964765784114053,-1.31202046035806
"1464","marteda01",0.6,0.6,1.3,0.9,-0.6,1.63545586107091,0.300340715502555,0.235234215885947,0.987979539641944,0.612698412698413
"1475","martito02",0.4,0.4,-0.3,0.1,0.1,-0.412020460358056,0.112698412698413,0.34,-0.868156424581006,-0.198412698412698
"1486","mathete01",0.1,-0.3,0.4,-1,-1,-0.264765784114053,-0.212020460358056,-0.587301587301587,0.34,-1.56815642458101
"1494","mccarbr01",3.2,2.1,-0.2,1.1,-0.3,-1.02322880371661,2.96159420289855,1.97006451612903,-0.364544138929088,0.800340715502555
"1506","mcgowdu01",-0.1,-1,0.3,0.6,-0.6,-1.12993548387097,-0.264544138929088,-1.29965928449744,-0.064765784114053,0.287979539641944
"1516","mclaubo01",-0.5,-1,-1,-1,-1,-1.23840579710145,-0.629935483870968,-1.16454413892909,-1.29965928449744,-1.36476578411405
"1522","mclaujo01",0.2,0.2,-1,-1,-1,1.47866354044549,0.176771196283391,-0.0384057971014494,-1.12993548387097,-1.16454413892909
"1529","mcwilla01",3.8,0.1,-1,-0.1,0.7,3.93545586107091,3.50034071550256,-0.264765784114053,-1.31202046035806,-0.387301587301587
"1542","mecirji01",1.2,0.2,-0.4,0.8,0.8,2.10034071550256,0.835234215885947,-0.112020460358056,-0.687301587301587,0.74
"1553","meekev01",-0.9,-1,-1,-1,-1,-1.29965928449744,-1.26476578411405,-1.31202046035806,-1.28730158730159,-1.06
"1559","mesajo01",1.3,1.3,3.9,1.4,2.2,0.776771196283391,1.06159420289855,1.17006451612903,3.73545586107091,1.10034071550256
"1578","millean01",0.8,0.4,1.8,2.2,4,-0.423228803716609,0.561594202898551,0.270064516129032,1.63545586107091,1.90034071550256
"1590","millewa04",0.9,0.3,-0.6,-1,-1,1.86159420289855,0.770064516129032,0.135455861070912,-0.899659284497445,-1.36476578411405
"1599","mitrese01",-0.9,0.6,-0.1,-1,-1,-1.23840579710145,-1.02993548387097,0.435455861070912,-0.399659284497445,-1.36476578411405
"1607","mongesi01",0.2,-0.1,0.5,-0.6,-1,1.73545586107091,-0.0996592844974446,-0.464765784114053,0.187979539641944,-0.887301587301587
"1617","montejo01",0.1,0.8,-0.6,2,0.9,1.23545586107091,-0.199659284497445,0.435234215885947,-0.912020460358056,1.71269841269841
"1630","monteri01",-0.4,0.4,0.3,-0.1,-1,1.43545586107091,-0.699659284497445,0.035234215885947,-0.0120204603580563,-0.387301587301587
"1640","moralfr01",-0.1,-0.4,0.7,-0.2,-1,0.576771196283391,-0.338405797101449,-0.529935483870968,0.535455861070912,-0.499659284497445
"1650","mortoch02",0.4,-0.8,0.3,1.8,-1,0.335455861070912,0.100340715502555,-1.16476578411405,-0.0120204603580563,1.51269841269841
"1660","moskapa01",-0.5,-1,-1,-1,-1,-0.429935483870968,-0.664544138929088,-1.29965928449744,-1.36476578411405,-1.31202046035806
"1667","moyerja01",-1,3,1.8,0.5,2.6,-0.629935483870968,-1.16454413892909,2.70034071550256,1.43523421588595,0.187979539641944
"1692","mulhote01",2.1,3.7,-1,-2.8,2,2.77006451612903,1.93545586107091,3.40034071550256,-1.36476578411405,-3.11202046035806
"1712","mussimi01",5.5,5,4.4,5.6,7.1,3.36159420289855,5.37006451612903,4.83545586107091,4.10034071550256,5.23523421588595
"1730","narvech01",-0.3,0.1,-1,0,-0.6,0.535455861070912,-0.599659284497445,-0.264765784114053,-1.31202046035806,-0.287301587301587
"1738","niesejo01",1.7,0.2,0.1,-1,-1,0.676771196283391,1.46159420289855,0.0700645161290324,-0.0645441389290882,-1.29965928449744
"1747","nolesdi01",0.2,-0.2,1.1,-0.6,-1,-0.538405797101449,0.0700645161290324,-0.364544138929088,0.800340715502555,-0.964765784114053
"1758","ohlenro01",0.9,-1,0.3,0.2,-1,-1.76454413892909,0.600340715502555,-1.36476578411405,-0.0120204603580563,-0.0873015873015874
"1767","okajihi01",0.1,-1,-1,-1,-1,-1.2984126984127,-0.306976744186046,-0.957142857142857,-1.62619047619048,-1.91724137931034
"1773","olivaom01",3.5,1.7,3.8,3.6,-0.6,-0.638405797101449,3.37006451612903,1.53545586107091,3.50034071550256,3.23523421588595
"1785","ontivst02",-1,-1,0.8,3.1,1.2,0.0354558610709118,-1.29965928449744,-1.36476578411405,0.487979539641944,2.81269841269841
"1795","ortizra01",0,-0.2,0,-1,-1,1.23523421588595,-0.312020460358056,-0.487301587301587,-0.0599999999999999,-1.56815642458101
