preds0	preds1	preds2	preds3	preds4		Year0		ID	1	2	3	4	5	6	7	8	9	10
-0.2869716056	-0.4304965619	-0.2876735108	0.4055717648	-0.064078097		2009		maybejo02	-0.5	0	0	0	0	0	0	0	0	0
2.7946957753	2.7373103441	3.0671090432	1.4498936467	1.7822346177		1996		erstada01	6.4	0.9	2.8	2.1	0	0.6	0	-0.9	0	0
0.7924976574	-0.02193671	0.725511672	0.1318741763	-0.04814618		1998		anderma02	-0.9	0.7	1.5	0.7	-0.2	-0.1	0	0	0	0
-0.3998374699	-0.1291799596	0.1397406523	-0.1704142023	-0.061008184		2008		mcgehca01	1.1	-1.2	-0.3	0	0	0	0	0	0	0
0.9299970163	1.5951507153	0.9443853603	0.5109479252	0.6705813482		1998		millake01	2.8	1.1	0.4	1.3	0.5	-0.7	0	0	0	0
0.2297320955	0.1778479041	0.8193239145	-0.02581903	-0.0608401834		2003		gomesjo01	1	-0.9	0.5	1.9	1.1	-0.9	-0.7	0	0	0
0.300976635	0.5164227985	-0.4088523968	-0.1927022504	-0.0674950314		2004		matsuka01	-0.8	0	0	0	0	0	0	0	0	0
0.0466024829	-0.2645571469	0.0037705739	-0.2834346308	-0.0637357247		1994		johnsbr01	-1	0	0	0	0	0	0	0	0	0
-0.108648209	-0.5407226692	-0.403045279	-0.2161305714	-0.0648206937		1993		walbema01	-0.4	-0.3	0.1	-0.2	-1.2	0	0	0	0	0
3.5166685317	3.0597559104	3.7883870801	2.1734935195	2.5491448351		1987		gantro01	6.5	0	3.3	3.2	0.8	1.8	2.1	2.1	0.4	1.9
3.2812552146	3.251209679	3.2736896874	2.4020799523	2.6131233561		1981		hrbekke01	4	4.4	3.8	1.9	2.7	1.6	2.1	-0.2	0	0
3.0680182236	3.157678031	2.1756161524	1.9901966494	1.4589928757		2003		morneju01	3.5	4.7	-1.1	1.2	1.9	3.2	0.4	0.3	0	0
0.178088382	-0.5437755997	-0.0258837727	-0.0670666846	-0.0669362681		2004		cantujo01	-1.6	-0.9	0	0	0	0	0	0	0	0
-0.2340027592	-0.212546284	-0.0362919264	0.0013887082	-0.061516424		1974		papist01	-0.3	0.1	0	0	0	0	0	0	0	0
1.198254408	0.9837817795	0.7653400343	0.536321447	0.2410720455		1990		moranmi01	-0.2	2	3.8	-1.1	-1.2	0	0	0	0	0
0.0079340802	0.3583701526	0.0458273609	-0.0985157152	0.017051699		1997		johnsru01	0	0	-0.2	0	0	0	0	0	0	0
-0.1838616918	-0.2539464204	-0.1702740537	-0.1707709607	-0.0614949263		1995		vitiejo01	0	0	0.9	0	0	0	0	0	0	0
-0.1957223137	-0.3081857584	0.5089781825	0.3479854751	-0.0654711792		1980		ramirra01	0.1	-0.3	1.5	-1	-0.5	-1	-0.2	0	0	0
0.0140840741	0.0642821606	-0.1475629687	-0.0180828574	-0.0623871845		2003		brunter01	-1.2	0	0	0	0	0	0	0	0	0
0.5974877523	0.0056672691	0.2119767508	0.0948656205	-0.0621072038		1980		rayfofl01	-1	-0.3	0	0	0	0	0	0	0	0
0.9898407113	0.6772261549	0.3764834992	0.3456110434	0.2807053246		1989		sandede02	1.3	0	0.1	0	0	0	-1	0	0	0
0.3600442883	0.2752535291	-0.0792031063	0.2843105581	-0.066998048		1992		rodrihe02	1	3.1	-0.4	-0.2	-0.5	0	0	0	0	0
0.5439965658	0.3058075462	0.3587146147	0.0942023351	0.2658265282		2005		andinro01	2.3	0.2	-0.3	0	0	0.1	0	0	0	0
2.7787537826	1.4414051198	0.3376046604	1.3987312249	-0.0616605809		2008		davisch02	1.8	5.2	3	-0.1	0	0	0	0	0	0
0.0483432831	-0.1968250988	0.1079434124	-0.1479898611	-0.0625940174		2007		johnsro07	-0.2	0	0	0	0	0	0	0	0	0
1.4170650957	1.3671335403	1.2612660063	0.6257033417	-0.0169141357		2008		lowrije01	0.8	1	-0.4	4	0	0	0	0	0	0
0.2690374296	0.1729276358	0.3593668857	-0.1570872206	0.1839533693		1989		hemonsc01	-0.4	0	0	0	0	0	0	0	0	0
3.1891129382	3.0700327358	2.4720291054	3.0782943154	2.6833124535		2004		molinya01	3.1	2.8	6.9	5.6	2.4	1.4	3	2	0	0
0.2351603676	0.0902008176	0.0350261379	0.0569023305	-0.0646642704		2009		younger03	-0.3	-0.1	0.8	0	0	0	0	0	0	0
3.829155064	3.8017602655	4.1126040502	3.3602310684	2.7072533167		1977		parrila02	4.7	2.8	3.8	3.1	0.4	1.1	1.7	4.5	1.3	0.3
3.0555188167	2.1969006404	2.2452299951	0.5543015723	1.1705523812		1972		bumbral01	0.4	2.9	6.1	1	1.5	0.7	0.5	-0.1	0	0
-0.1189986511	-0.0970117357	-0.2360319158	-0.0337116021	-0.0625726767		2000		ozunapa01	-0.2	-0.8	-0.6	0	0	0	0	0	0	0
2.6744929674	1.8473338327	2.3146047488	1.6400135681	2.1002454863		1976		templga01	2.6	1.4	0.7	3.2	-0.8	1	1.8	0.5	-0.2	-1.3
0.3436274466	0.1374694947	0.1291210572	-0.0535418877	0.0640257986		2008		pridija01	0.1	-0.2	0	0	0	0	0	0	0	0
1.7011675657	0.0754601337	0.4221852019	0.9585889896	0.3708557472		1992		snowjt01	0.7	1.8	0.8	0.9	-0.4	2	3.3	0.5	-0.3	0
-0.3577499288	-0.1870278736	0.3440396555	0.012646062	0.0995253706		1986		stillku01	-2.1	-1	0	0	0.1	0	0	0	0	0
0.5603649244	0.4658460449	0.67380834	0.5345737254	0.3536947485		2001		izturce01	-0.2	1.7	1.3	0.3	0.1	-0.6	0.4	0	0	0
2.0681537174	1.7673954238	1.3631794577	1.4816422989	0.9670462083		1970		bowala01	1.4	3.2	5.7	1.5	0.7	1.8	-0.9	3	-1	0.1
0.2240708096	0.5401261769	0.2023427946	-0.0601910308	-0.0626060886		2001		mackoro01	0.7	-0.6	0	0	0	0	0	0	0	0
1.2796829064	0.1446045197	-0.1226105669	0.2908916115	-0.0637676611		1991		spraged02	0.3	-0.3	0.2	-0.1	0.5	0	0	0	0	0
-0.0508001772	0.4443817507	0.4044165052	0.4410405718	0.3066081054		2002		burrose01	0	0	0	-0.2	-0.2	0	0	0	0	0
0.256351721	-0.1682452854	-0.1155566342	-0.0719924039	-0.0604955819		1996		mageewe01	0.7	0	0	0	0	0	0	0	0	0
1.9314147118	2.4412206434	1.902368484	1.5656478576	0.9072226013		1977		mullira01	2.8	2.4	3.2	1.9	2.5	2.2	0.1	0.7	0	0
2.868940918	3.4712820251	3.8175511993	2.4726163968	1.7973285116		1992		valenjo03	2	0.1	4.9	3	3.3	4	1.8	-0.2	3.6	-0.1
0.1093339611	-0.6634928009	0.3368240531	-0.1724160581	-0.0693909986		2005		francje02	3.1	-2.5	-1.4	-0.2	-1.1	0.5	0	0	0	0
