player_id,active_years,extra_stints,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,ob,pa,tb,war,ab_per_g,r_per_ab,batting_avg,double_per_ab,triple_per_ab,hr_per_ab,rbi_per_ab,sb_per_ob,cs_per_ob,sb_ratio,bb_per_pa,so_per_ab,slg,obp,rc,rc_per_ab,babip,iso,pa_per_so
sciosmi01,6,0,543,1594.0,145.0,425.0,73.0,5.0,21.0,173.0,8.0,6.0,226.0,107.0,41.0,8.0,26.0,16.0,39.0,700.0,1911.0,571.0,26.2,2.93554328,0.09096612,0.26662484,0.04579674,0.00313676,0.01317440,0.10853199,0.01142857,0.00857143,0.57142857,0.11826269,0.06712673,0.35821832,0.35737527,204.24230769,0.11222105,0.27260459,0.09159348,17.00934579
poseybu01,6,0,603,2182.0,287.0,673.0,129.0,6.0,83.0,352.0,6.0,5.0,224.0,324.0,28.0,21.0,0.0,28.0,66.0,946.0,2483.0,1063.0,37.5,3.61857380,0.13153071,0.30843263,0.05912007,0.00274977,0.03803850,0.16131989,0.00634249,0.00528541,0.54545455,0.09021345,0.14848763,0.48716774,0.37393075,396.30548628,0.16471550,0.32723239,0.17873511,7.42592593
alexaga01,6,1,411,1229.0,163.0,283.0,41.0,10.0,54.0,196.0,8.0,12.0,151.0,369.0,12.0,5.0,4.0,18.0,33.0,451.0,1419.0,506.0,0.8,2.99026764,0.13262815,0.23026851,0.03336046,0.00813670,0.04393816,0.15947925,0.01773836,0.02660754,0.40000000,0.10641297,0.30024410,0.41171684,0.31290093,159.13333333,0.11531401,0.27791262,0.18144833,3.73983740
berroge01,5,0,211,529.0,67.0,148.0,24.0,2.0,15.0,74.0,7.0,4.0,53.0,103.0,2.0,4.0,0.0,7.0,10.0,207.0,595.0,221.0,7.3,2.50710900,0.12665406,0.27977316,0.04536862,0.00378072,0.02835539,0.13988658,0.03381643,0.01932367,0.63636364,0.08907563,0.19470699,0.41776938,0.34569983,76.32474227,0.13114217,0.31818182,0.13799622,5.65048544
kiescbr01,4,0,113,173.0,20.0,38.0,6.0,1.0,8.0,27.0,1.0,0.0,19.0,47.0,0.0,0.0,0.0,0.0,3.0,57.0,192.0,70.0,1.5,1.53097345,0.11560694,0.21965318,0.03468208,0.00578035,0.04624277,0.15606936,0.01754386,0.00000000,1.00000000,0.09895833,0.27167630,0.40462428,0.29687500,20.78125000,0.10823568,0.25423729,0.18497110,4.08510638
burroje01,6,0,542,1923.0,261.0,502.0,80.0,3.0,90.0,326.0,7.0,9.0,266.0,429.0,26.0,8.0,0.0,30.0,44.0,802.0,2253.0,858.0,17.5,3.54797048,0.13572543,0.26105044,0.04160166,0.00156006,0.04680187,0.16952678,0.00872818,0.01122195,0.43750000,0.11806480,0.22308892,0.44617785,0.34845083,301.02512563,0.13751719,0.28730823,0.18512741,5.10256410
berrada01,6,0,447,1304.0,133.0,310.0,53.0,7.0,27.0,151.0,22.0,8.0,91.0,214.0,27.0,10.0,16.0,14.0,31.0,438.0,1462.0,458.0,5.5,2.91722595,0.10199387,0.23773006,0.04064417,0.00536810,0.02070552,0.11579755,0.05022831,0.01826484,0.73333333,0.06224350,0.16411043,0.35122699,0.28964059,131.65448029,0.09437597,0.26276695,0.11349693,6.51869159
daubabr01,6,0,616,1925.0,258.0,505.0,129.0,10.0,90.0,322.0,5.0,3.0,219.0,515.0,14.0,23.0,1.0,15.0,34.0,761.0,2197.0,924.0,6.3,3.12500000,0.13402597,0.26233766,0.06701299,0.00519481,0.04675325,0.16727273,0.00657030,0.00394218,0.62500000,0.09968138,0.26753247,0.48000000,0.34234647,312.02238806,0.14553283,0.31086142,0.21766234,4.16310680
martira03,6,0,476,1217.0,159.0,332.0,64.0,8.0,23.0,140.0,7.0,7.0,109.0,169.0,10.0,12.0,23.0,17.0,28.0,463.0,1388.0,481.0,-0.9,2.55672269,0.13064914,0.27280197,0.05258833,0.00657354,0.01889893,0.11503698,0.01511879,0.01511879,0.50000000,0.07853026,0.13886606,0.39523418,0.33431734,159.97058824,0.12064147,0.29654511,0.12243221,7.84615385
stillku01,6,0,759,2487.0,304.0,630.0,126.0,25.0,30.0,268.0,28.0,25.0,223.0,353.0,11.0,15.0,26.0,19.0,39.0,879.0,2781.0,896.0,3.1,3.27667984,0.12223563,0.25331725,0.05066345,0.01005227,0.01206273,0.10776035,0.03185438,0.02844141,0.52830189,0.08018698,0.14193808,0.36027342,0.31632653,282.02509225,0.10406830,0.28261894,0.10695617,7.67705382
gatesbr01,6,0,575,2023.0,228.0,538.0,106.0,9.0,22.0,241.0,17.0,10.0,191.0,293.0,7.0,9.0,23.0,33.0,61.0,745.0,2286.0,728.0,5.4,3.51826087,0.11270391,0.26594167,0.05239743,0.00444884,0.01087494,0.11913000,0.02281879,0.01342282,0.62962963,0.08355206,0.14483440,0.35986159,0.32712766,239.70731707,0.10826889,0.29638139,0.09391992,7.55631399
mieskma01,6,0,512,1308.0,191.0,344.0,72.0,8.0,45.0,190.0,7.0,16.0,108.0,264.0,5.0,10.0,5.0,14.0,37.0,467.0,1450.0,567.0,0.1,2.55468750,0.14602446,0.26299694,0.05504587,0.00611621,0.03440367,0.14525994,0.01498929,0.03426124,0.30434783,0.07448276,0.20183486,0.43348624,0.32083333,180.99152542,0.12781887,0.29516288,0.17048930,5.36363636
