player_id,active_years,extra_stints,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bfp,gf,r,tbf,war,era,baopp,tbf_per_g,starter_ratio,w_per_g,l_per_g,p_win,gf_per_g,cg_per_g,sho_per_g,sv_per_g,ipouts_per_g,bb_per_bfp,hbp_per_bfp,hr_per_tbf,so_per_tbf,wp_per_bfp,so_per_bb
abbotji01,6,0,181,67,74,181,26,5,0,3664.0,1254,513,101,424,693,23.0,32.0,23.0,5187.0,0.0,572,4740.0,19.9,3.78029476,0.26455696,26.18784530,1.00000000,0.37016575,0.40883978,0.47517730,0.00000000,0.14364641,0.02762431,0.00000000,20.24309392,0.08174282,0.00443416,0.02130802,0.14620253,0.00616927,1.63443396
mcelrch01,6,0,271,13,14,0,0,0,14,943.0,285,108,20,162,268,27.0,11.0,1.0,1354.0,78.0,133,1191.0,8.4,3.09225875,0.23929471,4.39483395,0.00000000,0.04797048,0.05166052,0.48148148,0.28782288,0.00000000,0.00000000,0.05166052,3.47970480,0.11964549,0.00073855,0.01679261,0.22502099,0.00812408,1.65432099
glavito02,6,0,172,73,60,172,24,10,0,3353.0,1058,447,78,353,644,37.0,28.0,18.0,4685.0,0.0,508,4314.0,74.0,3.59946317,0.24524803,25.08139535,1.00000000,0.42441860,0.34883721,0.54887218,0.00000000,0.13953488,0.05813953,0.00000000,19.49418605,0.07534685,0.00384205,0.01808067,0.14928141,0.00597652,1.82436261
tudorjo01,6,0,138,51,43,126,27,4,1,2546.0,845,357,88,264,499,11.0,11.0,19.0,3591.0,4.0,395,3308.0,34.4,3.78593873,0.25544135,23.97101449,0.91304348,0.36956522,0.31159420,0.54255319,0.02898551,0.19565217,0.02898551,0.00724638,18.44927536,0.07351713,0.00529101,0.02660218,0.15084643,0.00306321,1.89015152
delarjo01,6,1,158,41,40,96,0,0,0,1767.0,618,339,69,304,517,17.0,45.0,22.0,2647.0,18.0,362,2271.0,14.4,5.17996604,0.27212682,14.37341772,0.60759494,0.25949367,0.25316456,0.50617284,0.11392405,0.00000000,0.00000000,0.00000000,11.18354430,0.11484700,0.00831130,0.03038309,0.22765302,0.01700038,1.70065789
schmida01,6,0,221,23,28,14,1,1,34,1308.0,435,154,28,119,270,33.0,18.0,12.0,1828.0,135.0,179,1697.0,8.6,3.17889908,0.25633471,7.67873303,0.06334842,0.10407240,0.12669683,0.45098039,0.61085973,0.00452489,0.00452489,0.15384615,5.91855204,0.06509847,0.00656455,0.01649971,0.15910430,0.00984683,2.26890756
millwke01,6,0,168,75,46,160,6,2,0,3013.0,918,416,105,303,840,21.0,25.0,21.0,4194.0,3.0,456,3835.0,30.2,3.72784600,0.23937419,22.82738095,0.95238095,0.44642857,0.27380952,0.61983471,0.01785714,0.03571429,0.01190476,0.00000000,17.93452381,0.07224607,0.00500715,0.02737940,0.21903520,0.00596090,2.77227723
moralfr01,6,1,175,11,16,24,0,0,11,768.0,232,124,30,127,221,13.0,11.0,15.0,1120.0,47.0,136,956.0,1.6,4.35937500,0.24267782,5.46285714,0.13714286,0.06285714,0.09142857,0.40740741,0.26857143,0.00000000,0.00000000,0.06285714,4.38857143,0.11339286,0.01339286,0.03138075,0.23117155,0.00982143,1.74015748
judenje01,5,1,83,8,11,18,1,0,0,563.0,166,89,22,88,148,4.0,9.0,11.0,814.0,17.0,108,715.0,0.2,4.26820604,0.23216783,8.61445783,0.21686747,0.09638554,0.13253012,0.42105263,0.20481928,0.01204819,0.00000000,0.00000000,6.78313253,0.10810811,0.01351351,0.03076923,0.20699301,0.01105651,1.68181818
schuero01,6,0,253,37,42,78,13,2,11,2433.0,766,359,83,341,518,43.0,35.0,15.0,3450.0,65.0,397,3094.0,4.3,3.98397041,0.24757595,12.22924901,0.30830040,0.14624506,0.16600791,0.46835443,0.25691700,0.05138340,0.00790514,0.04347826,9.61660079,0.09884058,0.00434783,0.02682612,0.16742081,0.01014493,1.51906158
santaju01,5,1,161,14,26,42,1,0,0,1286.0,476,254,63,204,255,9.0,16.0,20.0,1919.0,32.0,276,1689.0,0.4,5.33281493,0.28182356,10.49068323,0.26086957,0.08695652,0.16149068,0.35000000,0.19875776,0.00621118,0.00000000,0.00000000,7.98757764,0.10630537,0.01042209,0.03730018,0.15097691,0.00833768,1.25000000
backebr01,6,0,109,22,15,47,1,1,0,1037.0,351,178,46,155,223,6.0,11.0,14.0,1511.0,20.0,184,1321.0,0.3,4.63452266,0.26570780,12.11926606,0.43119266,0.20183486,0.13761468,0.59459459,0.18348624,0.00917431,0.00917431,0.00000000,9.51376147,0.10258107,0.00926539,0.03482210,0.16881151,0.00727995,1.43870968
clancji01,6,0,152,51,70,150,41,6,0,2929.0,938,440,82,438,530,7.0,44.0,10.0,4201.0,0.0,494,3753.0,21.3,4.05599181,0.24993339,24.69078947,0.98684211,0.33552632,0.46052632,0.42148760,0.00000000,0.26973684,0.03947368,0.00000000,19.26973684,0.10426089,0.00238039,0.02184919,0.14122036,0.01047370,1.21004566
ottoda01,6,0,45,7,17,33,1,0,0,616.0,243,122,20,72,95,6.0,8.0,5.0,899.0,6.0,129,822.0,0.3,5.34740260,0.29562044,18.26666667,0.73333333,0.15555556,0.37777778,0.29166667,0.13333333,0.02222222,0.00000000,0.00000000,13.68888889,0.08008899,0.00556174,0.02433090,0.11557178,0.00889878,1.31944444
johnsja02,6,0,117,26,48,101,3,0,0,1849.0,658,352,95,262,400,7.0,23.0,29.0,2734.0,3.0,388,2420.0,4.6,5.14007572,0.27190083,20.68376068,0.86324786,0.22222222,0.41025641,0.35135135,0.02564103,0.02564103,0.00000000,0.00000000,15.80341880,0.09583029,0.01060717,0.03925620,0.16528926,0.00841258,1.52671756
floribr01,6,2,225,20,19,29,0,0,1,1307.0,431,209,40,217,354,21.0,35.0,19.0,1919.0,52.0,244,1683.0,2.5,4.31752104,0.25609031,7.48000000,0.12888889,0.08888889,0.08444444,0.51282051,0.23111111,0.00000000,0.00000000,0.00444444,5.80888889,0.11307973,0.00990099,0.02376708,0.21033868,0.01823867,1.63133641
scanlbo01,6,1,243,20,33,39,0,0,17,1447.0,516,239,37,182,230,23.0,18.0,20.0,2100.0,84.0,271,1898.0,0.9,4.45957153,0.27186512,7.81069959,0.16049383,0.08230453,0.13580247,0.37735849,0.34567901,0.00000000,0.00000000,0.06995885,5.95473251,0.08666667,0.00952381,0.01949420,0.12118019,0.00857143,1.26373626
puleoch01,5,0,77,17,25,56,2,1,1,1123.0,372,185,37,216,201,21.0,9.0,8.0,1665.0,12.0,211,1441.0,3.5,4.44790739,0.25815406,18.71428571,0.72727273,0.22077922,0.32467532,0.40476190,0.15584416,0.02597403,0.01298701,0.01298701,14.58441558,0.12972973,0.00480480,0.02567661,0.13948647,0.00540541,0.93055556
benesal01,5,0,92,25,23,58,5,1,0,1250.0,400,200,49,182,339,8.0,22.0,14.0,1803.0,19.0,228,1604.0,1.3,4.32000000,0.24937656,17.43478261,0.63043478,0.27173913,0.25000000,0.52083333,0.20652174,0.05434783,0.01086957,0.00000000,13.58695652,0.10094287,0.00776484,0.03054863,0.21134663,0.01220189,1.86263736
pauleda01,4,1,81,9,18,20,0,0,0,579.0,207,97,22,63,116,8.0,4.0,12.0,841.0,22.0,102,755.0,0.9,4.52331606,0.27417219,9.32098765,0.24691358,0.11111111,0.22222222,0.33333333,0.27160494,0.00000000,0.00000000,0.00000000,7.14814815,0.07491082,0.01426873,0.02913907,0.15364238,0.00475624,1.84126984
burneaj01,6,0,102,37,38,99,10,6,0,1934.0,535,274,54,298,555,15.0,32.0,24.0,2719.0,0.0,298,2352.0,29.9,3.82523268,0.22746599,23.05882353,0.97058824,0.36274510,0.37254902,0.49333333,0.00000000,0.09803922,0.05882353,0.00000000,18.96078431,0.10959912,0.00882677,0.02295918,0.23596939,0.01176903,1.86241611
daiglca01,2,0,20,2,3,10,0,0,0,184.0,77,44,10,33,24,3.0,1.0,2.0,282.0,1.0,46,242.0,-1.1,6.45652174,0.31818182,12.10000000,0.50000000,0.10000000,0.15000000,0.40000000,0.05000000,0.00000000,0.00000000,0.00000000,9.20000000,0.11702128,0.00709220,0.04132231,0.09917355,0.00354610,0.72727273
