player_id,end_year,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,tbf
thornma01,2013,257,11,23,0,0,0,14,686.0,211,83,14,73,227,15.0,7.0,7.0,0,954.0,57.0,99,8.0,6.0,860.0
eischjo01,2003,153,8,4,0,0,0,3,409.0,129,42,12,47,110,7.0,10.0,6.0,1,569.0,40.0,55,7.0,2.0,507.0
batismi01,2001,161,24,27,57,2,1,1,1423.0,485,244,54,220,314,13.0,22.0,25.0,1,2095.0,23.0,279,10.0,5.0,1835.0
deleojo01,1992,128,30,48,114,6,3,0,2122.0,596,279,53,275,562,16.0,11.0,19.0,1,2950.0,3.0,312,,,2656.0
ottenji01,1981,55,1,5,4,0,0,0,273.0,115,55,6,46,58,12.0,5.0,2.0,1,415.0,19.0,61,,,367.0
burkejo03,1996,123,53,41,123,8,2,0,2406.0,837,353,73,191,511,20.0,5.0,29.0,3,3362.0,0.0,384,,,3142.0
hausmto01,1982,44,1,3,0,0,0,0,220.0,78,28,6,17,31,4.0,3.0,2.0,1,311.0,19.0,36,,,292.0
tewksbo01,1995,110,53,32,109,15,2,0,2196.0,834,305,57,82,320,6.0,9.0,15.0,0,3050.0,1.0,334,,,2953.0
grantma01,1993,102,4,8,11,0,0,4,593.0,242,104,19,70,125,16.0,6.0,3.0,1,877.0,34.0,116,,,804.0
coneda01,1995,122,62,37,121,23,11,0,2714.0,731,319,74,367,775,11.0,42.0,35.0,5,3759.0,0.0,348,,,3357.0
easteja01,1983,125,7,8,0,0,0,10,484.0,168,66,10,81,92,9.0,2.0,4.0,0,701.0,52.0,74,,,616.0
outmajo01,2014,40,4,0,0,0,0,0,85.0,24,9,4,16,26,2.0,1.0,0.0,0,122.0,6.0,10,1.0,0.0,105.0
scottti01,1997,17,1,1,0,0,0,0,63.0,30,19,2,7,16,0.0,0.0,3.0,0,101.0,2.0,20,,,91.0
underto01,1983,170,36,28,63,5,2,14,1705.0,524,231,45,222,332,14.0,17.0,9.0,4,2400.0,46.0,258,,,2169.0
perezyo01,2000,134,5,5,0,0,0,0,346.0,109,57,13,58,96,3.0,14.0,0.0,0,514.0,21.0,64,1.0,2.0,453.0
ligteke01,2005,132,5,8,0,0,0,4,372.0,149,76,19,43,101,10.0,5.0,4.0,0,558.0,43.0,78,5.0,1.0,505.0
rodriwa01,2014,82,29,30,81,0,0,0,1458.0,482,205,66,145,371,13.0,11.0,12.0,2,2068.0,1.0,231,16.0,10.0,1885.0
higuete01,1994,32,5,10,26,0,0,0,375.0,154,88,19,62,95,2.0,0.0,4.0,4,581.0,5.0,97,,,515.0
palldo01,1997,42,2,3,0,0,0,0,180.0,70,29,8,20,32,1.0,3.0,1.0,0,267.0,9.0,36,,,246.0
slusajo01,2000,57,2,7,0,0,0,3,242.0,81,36,8,25,57,4.0,6.0,3.0,0,342.0,17.0,36,2.0,2.0,310.0
